Ortega, Rafael,542364,2021,330,228,.291,.251,0.040,.463,.380,0.083,.355,.310,0.045
Severino, Pedro,600474,2021,419,275,.248,.249,-0.001,.383,.401,-0.018,.299,.310,-0.011
Grisham, Trent,663757,2021,527,348,.242,.241,0.001,.413,.368,0.045,.320,.310,0.010
Hernández, César,514917,2021,637,438,.232,.241,-0.009,.386,.384,0.002,.302,.310,-0.008
Hilliard, Sam,656541,2021,238,127,.215,.214,0.001,.463,.438,0.025,.318,.310,0.008
Kelenic, Jarred,672284,2021,377,232,.181,.218,-0.037,.350,.408,-0.058,.270,.310,-0.040
Rodgers, Brendan,663898,2021,415,305,.284,.251,0.033,.470,.412,0.058,.341,.309,0.032
Baddoo, Akil,668731,2021,461,294,.259,.227,0.032,.436,.403,0.033,.329,.309,0.020
Andújar, Miguel,609280,2021,162,127,.253,.268,-0.015,.383,.419,-0.036,.288,.309,-0.021
Escobar, Alcides,444876,2021,349,267,.288,.271,0.017,.404,.362,0.042,.325,.308,0.017
Wong, Kolten,543939,2021,492,365,.272,.251,0.021,.447,.382,0.065,.337,.308,0.029
Ramirez, Harold,623912,2021,361,286,.268,.269,-0.001,.398,.402,-0.004,.302,.308,-0.006
Duggar, Steven,621453,2021,297,180,.257,.232,0.025,.437,.406,0.031,.327,.308,0.019
Naylor, Josh,647304,2021,250,188,.253,.254,-0.001,.399,.417,-0.018,.301,.308,-0.007
Espinal, Santiago,669289,2021,246,193,.311,.267,0.044,.405,.346,0.059,.344,.307,0.037
Beaty, Matt,607461,2021,234,160,.270,.233,0.037,.402,.347,0.055,.339,.307,0.032
Villar, Jonathan,542340,2021,505,324,.249,.235,0.014,.416,.388,0.028,.320,.307,0.013
